SampleRTTs	ExpAvgs		AriAvgs
0.732		1.63		0.90
0.771		1.52		0.90
0.74		1.43		0.90
0.831		1.35		0.90
0.709		1.27		0.90
0.78		1.21		0.90
0.687		1.14		0.89
0.764		1.10		0.89
0.757		1.05		0.89
0.777		1.02		0.89
0.714		0.98		0.89
0.718		0.95		0.89
0.781		0.93		0.89
1.094		0.95		0.89
0.767		0.93		0.89
0.693		0.90		0.89
0.795		0.88		0.89
0.736		0.87		0.89
39.244		5.66		1.03
0.77		5.05		1.03
0.857		4.53		1.02
0.709		4.05		1.02
0.69		3.63		1.02
0.759		3.27		1.02
0.838		2.97		1.02
0.745		2.69		1.02
0.68		2.44		1.02
0.731		2.22		1.02
0.687		2.03		1.02
0.79		1.88		1.02
0.678		1.73		1.01
0.686		1.60		1.01
0.688		1.48		1.01
0.76		1.39		1.01
0.676		1.30		1.01
0.823		1.24		1.01
